number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
115,대구 도시철도 1호선,설화명곡,Seolhwa·Myeonggok,舌化椧谷,,-,0.0,대구광역시 달성군
116,대구 도시철도 1호선,화원,Hwawon,花園,,1.2,1.2,대구광역시 달성군
117,대구 도시철도 1호선,대곡(정부대구청사),Daegok(Central Gov't Office-Daegu),大谷(政府大邱廳舍),,1.3,2.5,대구광역시 달서구
118,대구 도시철도 1호선,진천(보강병원),Jincheon,辰泉,,1.0,3.5,대구광역시 달서구
119,대구 도시철도 1호선,월배,Wolbae,月背,,0.8,4.3,대구광역시 달서구
120,대구 도시철도 1호선,상인(대구보훈병원),Sangin,上仁,,0.7,5.0,대구광역시 달서구
121,대구 도시철도 1호선,월촌,Wolchon,月村,,0.9,5.9,대구광역시 달서구
122,대구 도시철도 1호선,송현(참조은병원),Songhyeon,松峴,,1.0,6.9,대구광역시 달서구
123,대구 도시철도 1호선,서부정류장(관문시장)(대구공업대학교),Seobu Bus Terminal(Gwanmun Market),西部停留場(關門市場),,0.8,7.7,대구광역시 남구
124,대구 도시철도 1호선,대명,Daemyeong,大明,,0.8,8.5,대구광역시 남구
125,대구 도시철도 1호선,안지랑(대구가톨릭대학교병원),Anjirang,,,0.8,9.3,대구광역시 남구
126,대구 도시철도 1호선,현충로,Hyeonchungno,顯忠路,,0.7,10.0,대구광역시 남구
127,대구 도시철도 1호선,영대병원(영남이공대학교),Yeungnam University Hospital,嶺大病院,,0.7,10.7,대구광역시 남구
128,대구 도시철도 1호선,교대,National University of Education,敎大,,0.9,11.6,대구광역시 남구
129,대구 도시철도 1호선,명덕(2·28민주운동기념회관),Myeongdeok(2·28 Democracy Movement Hall),明德(2·28民主運動紀念會館), 대구 도시철도 3호선,0.7,12.3,대구광역시 중구
130,대구 도시철도 1호선,반월당(에필성형외과),Banwoldang,半月堂, 대구 도시철도 2호선,0.8,13.1,대구광역시 중구
131,대구 도시철도 1호선,중앙로(비엘성형외과피부과),Jungangno,中央路,,0.7,13.8,대구광역시 중구
132,대구 도시철도 1호선,대구역,Daegu Station,大邱驛,경부선,0.7,14.5,대구광역시 북구
133,대구 도시철도 1호선,칠성시장(MS재건병원),Chilseong Market,七星市場,,0.8,15.3,대구광역시 북구
134,대구 도시철도 1호선,신천(경북대입구),Sincheon(Kyungpook Nat'l Univ.),新川(慶北大入口),,1.2,16.5,대구광역시 동구
135,대구 도시철도 1호선,동대구역(신세계백화점),Dongdaegu Station,東大邱驛,경부선경부고속선대구선,0.9,17.4,대구광역시 동구
136,대구 도시철도 1호선,동구청(큰고개)(김태완신경과의원),Dong-gu Office(Keungogae),東區廳,,0.9,18.3,대구광역시 동구
137,대구 도시철도 1호선,아양교(대구국제공항입구),Ayanggyo(Daegu Int'l Airport),峨洋橋(大邱國際空港),,0.8,19.1,대구광역시 동구
138,대구 도시철도 1호선,동촌(동촌유원지),Dongchon(Dongchon Resort),東村(東村遊園地),,1.0,20.1,대구광역시 동구
139,대구 도시철도 1호선,해안,Haean,解安,,1.0,21.1,대구광역시 동구
140,대구 도시철도 1호선,방촌,Bangchon,芳村,,1.0,22.1,대구광역시 동구
141,대구 도시철도 1호선,용계,Yonggye,龍溪,,1.1,23.2,대구광역시 동구
142,대구 도시철도 1호선,율하(항시원외과),Yulha,栗下,,1.2,24.4,대구광역시 동구
143,대구 도시철도 1호선,신기(신기한속내과),Singi,新基,,1.1,25.5,대구광역시 동구
144,대구 도시철도 1호선,반야월,Banyawol,半夜月,,1.0,26.5,대구광역시 동구
145,대구 도시철도 1호선,각산(속안심내과의원),Gaksan,角山,,1.0,27.5,대구광역시 동구
146,대구 도시철도 1호선,안심(혁신도시·첨복단지),Ansim(Innovation City·High-tech Medical Complex),安心(革新都市·尖複團地),,0.9,28.4,대구광역시 동구
