number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
101,대전 도시철도 1호선,판암(대전대),Panam(Daejeon Univ.),板岩(大田大),,-,-,대전광역시 동구
102,대전 도시철도 1호선,신흥,Sinheung,新興,,0.94,0.94,대전광역시 동구
103,대전 도시철도 1호선,대동(우송대),Daedong(Woosong Univ.),大洞(又松大),,1.22,2.16,대전광역시 동구
104,대전 도시철도 1호선,대전역,Daejeon Station,大田驛,경부선경부고속선,1.01,3.17,대전광역시 동구
105,대전 도시철도 1호선,중앙로,Jungangno,中央路,,0.83,4.00,대전광역시 중구
106,대전 도시철도 1호선,중구청,Jung-gu Office,中區廳,,0.70,4.70,대전광역시 중구
107,대전 도시철도 1호선,서대전네거리,Seodaejeonnegeori,西大田四街,,0.84,5.54,대전광역시 중구
108,대전 도시철도 1호선,오룡,Oryong,五龍,,0.78,6.32,대전광역시 중구
109,대전 도시철도 1호선,용문,Yongmun,龍汶,,1.50,7.82,대전광역시 서구
110,대전 도시철도 1호선,탄방,Tanbang,炭坊,,1.20,9.02,대전광역시 서구
111,대전 도시철도 1호선,시청,City hall,市廳,,0.75,9.77,대전광역시 서구
112,대전 도시철도 1호선,정부청사,Government Complex Daejeon,政府廳舍,,0.99,10.76,대전광역시 서구
113,대전 도시철도 1호선,갈마,Galma,葛馬,,0.75,11.51,대전광역시 서구
114,대전 도시철도 1호선,월평(한국과학기술원),Wolpyeong(KAIST),月坪(韓國科學技術院),,0.75,12.26,대전광역시 서구
115,대전 도시철도 1호선,갑천,Gapcheon,甲川,,1.04,13.30,대전광역시 서구
116,대전 도시철도 1호선,유성온천(충남대·목원대),Yuseong Spa(Chungnam Nat'l Univ.·Mokwon Univ.),儒城溫泉(忠南大·牧園大),,1.28,14.59,대전광역시 유성구
117,대전 도시철도 1호선,구암,Guam,九岩,,1.05,15.63,대전광역시 유성구
118,대전 도시철도 1호선,현충원(한밭대),National Cemetery(Hanbat Nat'l Univ.),顯忠院(한밭大),,0.84,16.47,대전광역시 유성구
119,대전 도시철도 1호선,월드컵경기장(노은도매시장),Wold Cup Stadium,世界杯競技場(老隱都賣市場),,1.06,17.53,대전광역시 유성구
120,대전 도시철도 1호선,노은,Noeun,老隱,,0.81,18.34,대전광역시 유성구
121,대전 도시철도 1호선,지족(침신대),Jijok(Chimsin Univ.),智足(浸神大),,1.15,19.49,대전광역시 유성구
122,대전 도시철도 1호선,반석,Banseok,盤石,,0.98,20.47,대전광역시 유성구
