number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
100,광주 도시철도 1호선,녹동,Nokdong,鹿洞,,-,0.0,광주광역시 동구
101,광주 도시철도 1호선,소태,Sotae,所台,,1.9,1.9,광주광역시 동구
102,광주 도시철도 1호선,학동·증심사입구,Hakdong·Jeungsimsa,鶴洞·證心寺入口,,1.1,3.0,광주광역시 동구
103,광주 도시철도 1호선,남광주,Namgwangju,南光州,,0.9,3.9,광주광역시 동구
104,광주 도시철도 1호선,문화전당(구도청),Asian Culture Center,文化殿堂(舊道廳),,0.9,4.8,광주광역시 동구
105,광주 도시철도 1호선,금남로4가,Geumnamro 4(Sa)-ga,錦南路4街,,0.7,5.5,광주광역시 동구
106,광주 도시철도 1호선,금남로5가,Geumnamro 5(O)-ga,錦南路5街,,0.6,6.1,광주광역시 북구
107,광주 도시철도 1호선,양동시장,Yangdong Market,良洞市場,,1.0,7.1,광주광역시 서구
108,광주 도시철도 1호선,돌고개,Dolgogae,,,0.6,7.7,광주광역시 서구
109,광주 도시철도 1호선,농성,Nongseong,農城,,1.2,8.9,광주광역시 서구
110,광주 도시철도 1호선,화정,Hwajeong,花亭,,0.7,9.6,광주광역시 서구
111,광주 도시철도 1호선,쌍촌,Ssangchon,雙村,,0.6,10.2,광주광역시 서구
112,광주 도시철도 1호선,운천,Uncheon,雲泉,,0.9,11.1,광주광역시 서구
113,광주 도시철도 1호선,상무,Sangmu,尙武,,1.1,12.2,광주광역시 서구
114,광주 도시철도 1호선,김대중컨벤션센터(마륵),Kim Daejung Convention Center(Mareuk),,,0.7,12.9,광주광역시 서구
115,광주 도시철도 1호선,공항,Gwangju Airport,空港,,2.9,15.8,광주광역시 광산구
116,광주 도시철도 1호선,송정공원,Songjeong Park,松汀公園,,1.1,16.9,광주광역시 광산구
117,광주 도시철도 1호선,광주송정역,Gwangju Songjeong Station,光州松汀驛,호남선호남고속선광주선,1.1,18.0,광주광역시 광산구
118,광주 도시철도 1호선,도산,Dosan,道山,,0.7,18.7,광주광역시 광산구
119,광주 도시철도 1호선,평동,Pyeongdong,平洞,,1.9,20.5,광주광역시 광산구
