number,line,name,english_name,japanese_name,chinese_name,hanja_name,transfer,distance,cumulative_distance,location
1,부산-김해 경전철,사상(서부터미널),Sasang(Seobu Bus Terminal),,,沙上(西部터미널), 부산 도시철도 2호선경부선,-,0.0,부산광역시 사상구
2,부산-김해 경전철,괘법르네시떼(강변공원),Gwaebeop Renecite(Gangbyeon Park),,,掛法르네시떼(江邊公園),,0.8,0.8,부산광역시 사상구
3,부산-김해 경전철,서부산유통지구(금호마을·에어부산),Seobusan Yutongjigu(Geumho Town·Air Busan),,,西釜山流通地區(錦湖마을·에어釜山),,2.3,3.1,부산광역시 강서구
4,부산-김해 경전철,공항,Gimhae Int'l Airport,,,空港,,0.9,4.0,부산광역시 강서구
5,부산-김해 경전철,덕두,Deokdu,,,德斗,,1.3,5.3,부산광역시 강서구
6,부산-김해 경전철,등구,Deunggu,,,登龜,,1.9,7.2,부산광역시 강서구
7,부산-김해 경전철,대저,Daejeo,,,大渚, 부산 도시철도 3호선,2.0,9.2,부산광역시 강서구
8,부산-김해 경전철,평강,Pyeonggang,,,平江,,1.0,10.2,부산광역시 강서구
9,부산-김해 경전철,대사,Daesa,,,大沙,,1.2,11.4,부산광역시 강서구
10,부산-김해 경전철,불암,Buram,,,佛岩,,1.1,12.5,경상남도 김해시
11,부산-김해 경전철,지내,Jinae,,,池內,,0.7,13.2,경상남도 김해시
12,부산-김해 경전철,김해대학(안동),Gimhae College(Andong),,,金海大學(安洞),,0.8,14.0,경상남도 김해시
13,부산-김해 경전철,인제대(활천),Inje Univ.(Hwalcheon),,,仁濟大(活川),,1.3,15.3,경상남도 김해시
14,부산-김해 경전철,김해시청,Gimhae City Hall,,,金海市廳,,1.0,16.3,경상남도 김해시
15,부산-김해 경전철,부원(아이스퀘어몰),Buwon(I-Square Mall),,,府院,,0.6,16.9,경상남도 김해시
16,부산-김해 경전철,봉황(김해여객터미널),Bonghwang(Gimhae Bus Terminal),,,鳳凰(金海旅客터미널),,1.0,17.9,경상남도 김해시
17,부산-김해 경전철,수로왕릉(김해보건소),Royal Tomb of King Suro(Gimhae Community Health Center),,,首露王陵(金海保健所),,0.7,18.6,경상남도 김해시
18,부산-김해 경전철,박물관,Gimhae Nat'l Museum,,,博物館,,0.8,19.4,경상남도 김해시
19,부산-김해 경전철,연지공원,Yeonji Park,,,蓮池公園,,1.1,20.5,경상남도 김해시
20,부산-김해 경전철,장신대(화정),Presbyterian Univ.(Hwajeong),,,長神大(花亭),,1.2,21.7,경상남도 김해시
21,부산-김해 경전철,가야대(삼계),Gaya Univ.(Samgyae),,,加耶大(三溪),,0.9,22.6,경상남도 김해시
