number,line,name,english_name,japanese_name,chinese_name,hanja_name,transfer,distance,cumulative_distance,location
095,부산 도시철도 1호선,다대포해수욕장(몰운대),Dadaepo Beach,多大浦海水浴場,多大浦海水浴场,,,-,0.0,부산광역시 사하구
096,부산 도시철도 1호선,다대포항(우리원병원),Dadaepo Harbor,多大浦港,多大浦港,,,1.6,1.6,부산광역시 사하구
097,부산 도시철도 1호선,낫개,Natgae,ナッケ,纳溉,,,1.3,2.9,부산광역시 사하구
098,부산 도시철도 1호선,신장림(하나병원),Sinjangnim,新長林,新长林,,,1.1,3.7,부산광역시 사하구
099,부산 도시철도 1호선,장림,Jangnim,長林,长林,,,0.8,4.8,부산광역시 사하구
100,부산 도시철도 1호선,동매(강동병원),Dongmae,トンメ,东嵋,,,1.5,6.3,부산광역시 사하구
101,부산 도시철도 1호선,신평,Sinpyeong,新平,新平,,,1.6,7.9,부산광역시 사하구
102,부산 도시철도 1호선,하단(아트몰링),Hadan,下端,下端,,,1.6,9.5,부산광역시 사하구
103,부산 도시철도 1호선,당리(사하구청),Dangni,堂里,堂里,,,0.8,10.3,부산광역시 사하구
104,부산 도시철도 1호선,사하,Saha,沙下,沙下,,,0.9,11.2,부산광역시 사하구
105,부산 도시철도 1호선,괴정,Goejeong,槐亭,槐亭,,,0.9,12.1,부산광역시 사하구
106,부산 도시철도 1호선,대티,Daeti,大峙,大峙,,,0.8,12.9,부산광역시 사하구
107,부산 도시철도 1호선,서대신,Seodaesin,西大新,西大新,,,1.4,14.3,부산광역시 서구
108,부산 도시철도 1호선,동대신,Dongdaesin,東大新,东大新,,,0.7,15.0,부산광역시 서구
109,부산 도시철도 1호선,토성,Toseong,土城,土城,,,1.2,16.2,부산광역시 서구
110,부산 도시철도 1호선,자갈치,Jagalchi,チャガルチ,札嘎其,,,1.0,17.2,부산광역시 중구
111,부산 도시철도 1호선,남포(해동병원),Nampo,南浦,南浦,,,0.7,17.9,부산광역시 중구
112,부산 도시철도 1호선,중앙,Jungang,中央,中央,,,0.9,18.8,부산광역시 중구
113,부산 도시철도 1호선,부산역,Busan Station,釜山駅,釜山站,,경부선경부고속선,1.1,19.9,부산광역시 동구
114,부산 도시철도 1호선,초량,Choryang,草梁,草梁,,,0.8,20.7,부산광역시 동구
115,부산 도시철도 1호선,부산진(동구청),Busanjin,釜山鎮,釜山镇,,,0.8,21.5,부산광역시 동구
116,부산 도시철도 1호선,좌천,Jwacheon,佐川,佐川,,,1.0,22.5,부산광역시 동구
117,부산 도시철도 1호선,범일,Beomil,凡一,凡一,,,0.9,23.4,부산광역시 동구
118,부산 도시철도 1호선,범내골,Beomnaegol,ポムネゴル,凡内谷,,,0.8,24.2,부산광역시 부산진구
119,부산 도시철도 1호선,서면,Seomyeon,西面,西面,, 부산 도시철도 2호선,1.2,25.4,부산광역시 부산진구
120,부산 도시철도 1호선,부전(부산시민공원·송상현광장),Bujeon,釜田,釜田,, 동해선 광역전철동해선,0.6,26.0,부산광역시 부산진구
121,부산 도시철도 1호선,양정,Yangjeong,楊亭,杨亭,,,1.4,27.4,부산광역시 부산진구
122,부산 도시철도 1호선,시청(연제),City Hall,市庁,市厅,,,0.8,28.2,부산광역시 연제구
123,부산 도시철도 1호선,연산,Yeonsan,蓮山,莲山,, 부산 도시철도 3호선,0.9,29.1,부산광역시 연제구
124,부산 도시철도 1호선,교대,Busan Nat'l Univ. of Edu.,釜山教育大学,釜山教育大学,, 동해선 광역전철,1.0,30.1,부산광역시 연제구
125,부산 도시철도 1호선,동래(한국건강관리협회),Dongnae,東莱,东莱,, 부산 도시철도 4호선,1.2,31.3,부산광역시 동래구
126,부산 도시철도 1호선,명륜,Myeongnyun,明倫,明伦,,,0.8,32.1,부산광역시 동래구
127,부산 도시철도 1호선,온천장,Oncheonjang,溫泉場,温泉场,,,1.0,33.1,부산광역시 동래구
128,부산 도시철도 1호선,부산대,Pusan Nat'l Univ.,釜山大学,釜山大学,,,1.1,34.2,부산광역시 금정구
129,부산 도시철도 1호선,장전,Jangjeon,長箭,长箭,,,1.0,35.2,부산광역시 금정구
130,부산 도시철도 1호선,구서,Guseo,久瑞,久瑞,,,1.1,36.3,부산광역시 금정구
131,부산 도시철도 1호선,두실,Dusil,斗実,斗实,,,1.0,37.3,부산광역시 금정구
132,부산 도시철도 1호선,남산,Namsan,南山,南山,,,1.0,38.3,부산광역시 금정구
133,부산 도시철도 1호선,범어사,Beomeosa,梵魚寺,梵鱼寺,,,0.9,39.2,부산광역시 금정구
134,부산 도시철도 1호선,노포(종합버스터미널),Nopo,老圃,老圃,,,1.2,40.4,부산광역시 금정구
