number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
,경강선,(기점),,,,0.0,0.0,경기도 성남시
K410,경강선,판교,Pangyo,板橋, 신분당선,0.5,0.5,경기도 성남시
K411,경강선,이매,Imae,二梅, 수도권 전철 수인·분당선,1.5,2.0,경기도 성남시
K412,경강선,삼동,Samdong,三洞,,6.9,8.9,경기도 광주시
K413,경강선,경기광주(ICT폴리텍대학),Gyeonggi Gwangju,京畿廣州,,4.9,13.8,경기도 광주시
K414,경강선,초월,Chowol,草月,,5.0,18.8,경기도 광주시
K415,경강선,곤지암(동원대),Gonjiam,昆池岩,,4.9,23.7,경기도 광주시
K416,경강선,신둔도예촌(한국관광대),Sindundoyechon,新屯陶藝村,,6.8,30.5,경기도 이천시
K417,경강선,이천,Icheon,利川,,7.8,38.3,경기도 이천시
K418,경강선,부발,Bubal,夫鉢,,4.5,42.8,경기도 이천시
K419,경강선,세종대왕릉,Sejongdaewangneung,世宗大王陵,,8.3,51.1,경기도 여주시
K420,경강선,여주(여주대),Yeoju,驪州,,5.4,56.5,경기도 여주시
,경강선,(종점),,,,0.5,57.0,경기도 여주시
