number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
K121,경춘선,망우,Mangu,忘憂,중앙선망우선,0.0,0.0,서울특별시 중랑구
P122,경춘선,신내,Sinnae,新內, 서울 지하철 6호선,2.1,2.1,서울특별시 중랑구
P123,경춘선,갈매,Galmae,葛梅,,2.6,4.7,경기도 구리시
P124,경춘선,별내(삼육대학교),Byeollae,別內,,1.4,6.1,경기도 남양주시
P125,경춘선,퇴계원,Toegyewon,退溪院,,1.6,7.7,경기도 남양주시
P126,경춘선,사릉,Sareung,思陵,,3.3,11.0,경기도 남양주시
P127,경춘선,금곡,Geumgok,金谷,,3.6,14.6,경기도 남양주시
P128,경춘선,평내호평,PyeongnaeHopyeong,坪內好坪,,4.0,18.6,경기도 남양주시
P129,경춘선,천마산,Cheonmasan,天摩山,,4.2,22.8,경기도 남양주시
P130,경춘선,마석,Maseok,磨石,,2.2,25.0,경기도 남양주시
P131,경춘선,대성리,Daeseong-ri,大成里,,7.4,32.4,경기도 가평군
P132,경춘선,청평,Cheongpyeong,淸平,,7.5,39.9,경기도 가평군
P133,경춘선,상천(호명호수),Sangcheon,上泉,,4.8,44.7,경기도 가평군
P134,경춘선,가평(자라섬·남이섬),Gapyeong,加平,,7.1,51.8,경기도 가평군
P135,경춘선,굴봉산(제이드가든),Gulbongsan,屈峰山,,4.7,56.5,강원도 춘천시
P136,경춘선,백양리(엘리시안강촌),Baegyang-ri,白楊里,,2.9,59.4,강원도 춘천시
P137,경춘선,강촌,Gangchon,江村,,5.3,64.7,강원도 춘천시
P138,경춘선,김유정,Gimyujeong,金裕貞,,7.4,72.1,강원도 춘천시
P139,경춘선,남춘천(강원대),Namchuncheon,南春川,,5.9,78.0,강원도 춘천시
P140,경춘선,춘천(한림대),Chuncheon,春川,,2.7,80.7,강원도 춘천시
