number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
G100,김포_도시철도,양촌,Yangchon,陽村,,0.0,0.0,경기도 김포시
G101,김포_도시철도,구래,Gurae,九來,,1.4,1.4,경기도 김포시
G102,김포_도시철도,마산,Masan,麻山,,1.6,3.0,경기도 김포시
G103,김포_도시철도,장기,Janggi,場基,,2.6,5.6,경기도 김포시
G104,김포_도시철도,운양,Unyang,雲陽,,1.7,7.3,경기도 김포시
G105,김포_도시철도,걸포북변,Geolpo Bukbyeon,傑浦北邊,,3.4,10.7,경기도 김포시
G106,김포_도시철도,사우(김포시청),Sau(Gimpo City Hall),沙隅(金浦市廳),,1.8,12.5,경기도 김포시
G107,김포_도시철도,풍무,Pungmu,豊舞,,1.6,14.1,경기도 김포시
G108,김포_도시철도,고촌,Gochon,高村,,3.6,17.7,경기도 김포시
G109,김포_도시철도,김포공항,Gimpo Int'l Airport,金浦空港," 수도권 전철 5호선, 서울 지하철 9호선, 인천국제공항철도, 수도권 전철 서해선(예정)",5.9,23.6,서울특별시 강서구
