number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
,서울_경전철_우이신설선,,,,,,, 
,서울_경전철_우이신설선,우이차량사업소,,,,-,(0.0),서울특별시 강북구
S110,서울_경전철_우이신설선,북한산우이(도선사입구),Bukhansan Ui,北漢山牛耳,,(0.4),0.0,서울특별시 강북구
S111,서울_경전철_우이신설선,솔밭공원,Solbat Park,松林公園,,0.8,0.8,서울특별시 강북구
S112,서울_경전철_우이신설선,4.19민주묘지(덕성여대),April 19th National Cemetery,4.19民主墓地,,0.7,1.5,서울특별시 강북구
S113,서울_경전철_우이신설선,가오리,Gaori,加五里,,0.9,2.4,서울특별시 강북구
S114,서울_경전철_우이신설선,화계,Hwagye,華溪,,0.8,3.2,서울특별시 강북구
S115,서울_경전철_우이신설선,삼양,Samyang,三陽,,0.8,4.0,서울특별시 강북구
S116,서울_경전철_우이신설선,삼양사거리,Samyangsageori,三陽四거리,,0.7,4.7,서울특별시 강북구
S117,서울_경전철_우이신설선,솔샘,Solsaem,松泉,,0.8,5.5,서울특별시 강북구
S118,서울_경전철_우이신설선,북한산보국문(서경대),Bukhansan Bogungmun,北漢山輔國門,,1.2,6.7,서울특별시 성북구
S119,서울_경전철_우이신설선,정릉(국민대입구),Jeongneung,貞陵,,1.2,7.9,서울특별시 성북구
S120,서울_경전철_우이신설선,성신여대입구(돈암),Sungshin Women's Univ. (Donam),誠信女大入口(敦岩), 수도권 전철 4호선,1.2,9.1,서울특별시 성북구
S121,서울_경전철_우이신설선,보문,Bomun,普門, 서울 지하철 6호선,0.9,10.0,서울특별시 성북구
S122,서울_경전철_우이신설선,신설동,Sinseol-dong,新設洞," 수도권 전철 1호선, 서울 지하철 2호선 (성수지선)",1.0,11.0,서울특별시 동대문구
