number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
709,서울_지하철_7호선,장암,Jangam,長岩,,-,0.0,경기도 의정부시
710,서울_지하철_7호선,도봉산,Dobongsan,道峰山, 수도권 전철 1호선,1.4,1.4,서울특별시 도봉구
711,서울_지하철_7호선,수락산,Suraksan,水落山,,1.6,3.0,서울특별시 노원구
712,서울_지하철_7호선,마들,Madeul,,,1.4,4.4,서울특별시 노원구
713,서울_지하철_7호선,노원,Nowon,蘆原, 수도권 전철 4호선,1.2,5.6,서울특별시 노원구
714,서울_지하철_7호선,중계(한국성서대),Junggye(Korean Bible Univ.),中溪,,1.1,6.7,서울특별시 노원구
715,서울_지하철_7호선,하계(을지대 을지병원),Hagye(Eulji Medical Center),下溪,,1.0,7.7,서울특별시 노원구
716,서울_지하철_7호선,공릉(서울과학기술대),Gongneung(Seoul Nat'l Univ. of Science and Technology),孔陵(서울科學技術大),,1.3,9.0,서울특별시 노원구
717,서울_지하철_7호선,태릉입구,Taereung,泰陵入口, 서울 지하철 6호선,0.8,9.8,서울특별시 노원구
718,서울_지하철_7호선,먹골,Meokgol,,,0.9,10.7,서울특별시 중랑구
719,서울_지하철_7호선,중화,Junghwa,中和,,0.9,11.6,서울특별시 중랑구
720,서울_지하철_7호선,상봉(시외버스터미널),Sangbong(Intercity Bus Terminal),上鳳(市外버스터미널)," 수도권 전철 경의·중앙선, 수도권 전철 경춘선중앙선",1.0,12.6,서울특별시 중랑구
721,서울_지하철_7호선,면목,Myeonmok,面牧,,0.8,13.4,서울특별시 중랑구
722,서울_지하철_7호선,사가정(녹색병원),Sagajeong(Green Hospital),四佳亭,,0.9,14.3,서울특별시 중랑구
723,서울_지하철_7호선,용마산(용마폭포공원),Yongmasan(Yongma Falls Park),龍馬山,,0.8,15.1,서울특별시 중랑구
724,서울_지하철_7호선,중곡,Junggok,中谷,,0.9,16.0,서울특별시 광진구
725,서울_지하철_7호선,군자(능동),Gunja(Neung-dong),君子(陵洞), 수도권 전철 5호선,1.1,17.1,서울특별시 광진구
726,서울_지하철_7호선,어린이대공원(세종대),Children's Grand Park(Sejong Univ.),어린이大公園(世宗大),,1.1,18.2,서울특별시 광진구
727,서울_지하철_7호선,건대입구,Konkuk University,建大入口, 서울 지하철 2호선,0.8,19.0,서울특별시 광진구
728,서울_지하철_7호선,뚝섬유원지,Ttukseom Park,뚝섬遊園地,,1.0,20.0,서울특별시 광진구
729,서울_지하철_7호선,청담(한국금거래소),Cheongdam(Korea Gold Exchange),淸潭,,2.0,22.0,서울특별시 강남구
730,서울_지하철_7호선,강남구청,Gangnam-gu Office,江南區廳, 수도권 전철 수인·분당선,1.1,23.1,서울특별시 강남구
731,서울_지하철_7호선,학동,Hak-dong,鶴洞,,0.9,24.0,서울특별시 강남구
732,서울_지하철_7호선,논현,Nonhyeon,論峴,,1.0,25.0,서울특별시 강남구
733,서울_지하철_7호선,반포,Banpo,盤浦,,0.9,25.9,서울특별시 서초구
734,서울_지하철_7호선,고속터미널,Express Bus Terminal,高速터미널," 수도권 전철 3호선, 서울 지하철 9호선",0.9,26.8,서울특별시 서초구
735,서울_지하철_7호선,내방,Naebang,內方,,2.2,29.0,서울특별시 서초구
736,서울_지하철_7호선,이수(총신대입구),Isu(Chongsin University),梨水(總神大入口), 수도권 전철 4호선,1.0,30.0,서울특별시 동작구
737,서울_지하철_7호선,남성,Namseong,南城,,1.0,31.0,서울특별시 동작구
738,서울_지하철_7호선,숭실대입구(살피재),Soongsil Univ.(Salpijae),崇實大入口,,2.0,33.0,서울특별시 동작구
739,서울_지하철_7호선,상도,Sangdo,上道,,0.9,33.9,서울특별시 동작구
740,서울_지하철_7호선,장승배기,Jangseungbaegi,長丞拜基,,0.9,34.8,서울특별시 동작구
741,서울_지하철_7호선,신대방삼거리,Sindaebangsamgeori,新大方삼거리,,1.2,36.0,서울특별시 동작구
742,서울_지하철_7호선,보라매,Boramae,,,0.8,36.8,서울특별시 영등포구
743,서울_지하철_7호선,신풍,Sinpung,新豊,,0.9,37.7,서울특별시 영등포구
744,서울_지하철_7호선,대림(구로구청),Daerim(Guro-gu Office),大林(九老區廳), 서울 지하철 2호선,1.4,39.1,서울특별시 영등포구
745,서울_지하철_7호선,남구로,Namguro,南九老,,1.1,40.2,서울특별시 구로구
746,서울_지하철_7호선,가산디지털단지(마리오아울렛),Gasan Digital Complex(Mario Outlet),加山-團地, 수도권 전철 1호선,0.8,41.0,서울특별시 금천구
747,서울_지하철_7호선,철산,Cheolsan,鐵山,,1.4,42.4,경기도 광명시
748,서울_지하철_7호선,광명사거리,Gwangmyeongsageori,光明사거리,,1.3,43.7,경기도 광명시
749,서울_지하철_7호선,천왕,Cheonwang,天旺,,1.7,45.4,서울특별시 구로구
750,서울_지하철_7호선,온수(성공회대입구),Onsu(Sungkonghoe Univ.),溫水(聖公會大入口), 수도권 전철 1호선,1.5,46.9,서울특별시 구로구
751,서울_지하철_7호선,까치울,Kkachiul,,,2.2,49.1,경기도 부천시
752,서울_지하철_7호선,부천종합운동장,Bucheon Stadium,富川綜合運動場, 수도권 전철 서해선,1.2,50.3,경기도 부천시
753,서울_지하철_7호선,춘의,Chunui,春衣,,0.9,51.2,경기도 부천시
754,서울_지하철_7호선,신중동,Sinjung-dong,新中洞,,1.0,52.2,경기도 부천시
755,서울_지하철_7호선,부천시청,Bucheon City Hall,富川市廳,,1.1,53.3,경기도 부천시
756,서울_지하철_7호선,상동,Sang-dong,上洞,,0.9,54.2,경기도 부천시
