number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
,서해선,(기점),,,,0.0,0.0,경기도 부천시
S16,서해선,소사,Sosa,素砂, 수도권 전철 1호선,0.6,0.6,경기도 부천시
S17,서해선,소새울,Sosaeul,,,1.7,2.3,경기도 부천시
S18,서해선,시흥대야,Siheung Daeya,始興大也,,2.1,4.4,경기도 시흥시
S19,서해선,신천,Sincheon,新川,,1.4,5.8,경기도 시흥시
S20,서해선,신현,Sinhyeon,新峴,,3.3,9.1,경기도 시흥시
S22,서해선,시흥시청,Siheung City Hall,始興市廳,,3.6,12.7,경기도 시흥시
S23,서해선,시흥능곡,Siheung Neunggok,始興陵谷,,1.3,14.0,경기도 시흥시
S24,서해선,달미,Dalmi,達美,,2.4,16.4,경기도 안산시
S25,서해선,선부,Seonbu,仙府,,1.6,18.0,경기도 안산시
S26,서해선,초지,Choji,草芝," 수도권 전철 4호선, 수도권 전철 수인·분당선",1.7,19.7,경기도 안산시
S27,서해선,시우,Siu,時雨,,1.4,21.1,경기도 안산시
S28,서해선,원시,Wonsi,元時,,1.5,22.6,경기도 안산시
