number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
409,서울 지하철 4호선,당고개,Danggogae,,,-,0.0,서울특별시 노원구
410,서울 지하철 4호선,상계,Sanggye,上溪,,1.2,1.2,서울특별시 노원구
411,서울 지하철 4호선,노원,Nowon,蘆原, 서울 지하철 7호선,1.0,2.2,서울특별시 노원구
412,서울 지하철 4호선,창동,Chang-dong,倉洞, 수도권 전철 1호선,1.4,3.6,서울특별시 도봉구
413,서울 지하철 4호선,쌍문,Ssangmun,雙門,,1.3,4.9,서울특별시 도봉구
414,서울 지하철 4호선,수유(강북구청),Suyu(Gangbuk-gu Office),水踰(江北區廳),,1.5,6.4,서울특별시 강북구
415,서울 지하철 4호선,미아(서울사이버대학),Mia(Seoul Cyber University),彌阿(서울사이버大學),,1.4,7.8,서울특별시 강북구
416,서울 지하철 4호선,미아사거리,Miasageori,彌阿사거리,,1.5,9.3,서울특별시 강북구
417,서울 지하철 4호선,길음,Gireum,吉音,,1.3,10.6,서울특별시 성북구
418,서울 지하철 4호선,성신여대입구(돈암),Sungshin Women's University(Donam),誠信女大入口(敦巖), 서울 경전철 우이신설선,1.4,12.0,서울특별시 성북구
419,서울 지하철 4호선,한성대입구(삼선교),Hansung University(Samseongyo),漢城大入口(三仙橋),,1.0,13.0,서울특별시 성북구
420,서울 지하철 4호선,혜화,Hyehwa,惠化,,0.9,13.9,서울특별시 종로구
421,서울 지하철 4호선,동대문,Dongdaemun,東大門, 수도권 전철 1호선,1.5,15.4,서울특별시 종로구
422,서울 지하철 4호선,동대문역사문화공원,Dongdaemun History & Culture Park,東大門歷史文化公園," 서울 지하철 2호선, 수도권 전철 5호선",0.7,16.1,서울특별시 중구
423,서울 지하철 4호선,충무로,Chungmuro,忠武路, 수도권 전철 3호선,1.3,17.4,서울특별시 중구
424,서울 지하철 4호선,명동,Myeong-dong,明洞,,0.7,18.1,서울특별시 중구
425,서울 지하철 4호선,회현(남대문시장),Hoehyeon(Namdaemun Market),會賢(南大門市場),,0.7,18.8,서울특별시 중구
426,서울 지하철 4호선,서울역,Seoul Station,서울驛," 수도권 전철 1호선, 인천국제공항철도, 수도권 전철 경의·중앙선경부선경의선",0.9,19.7,서울특별시 용산구
427,서울 지하철 4호선,숙대입구(갈월),Sookmyung Women's University(Garwol),淑大入口(葛月),,1.0,20.7,서울특별시 용산구
428,서울 지하철 4호선,삼각지,Samgakji,三角地, 서울 지하철 6호선,1.2,21.9,서울특별시 용산구
429,서울 지하철 4호선,신용산,Sinyongsan,新龍山,,0.7,22.6,서울특별시 용산구
430,서울 지하철 4호선,이촌(국립중앙박물관),Ichon(National Museum of Korea),二村(國立中央博物館), 수도권 전철 경의·중앙선,1.3,23.9,서울특별시 용산구
431,서울 지하철 4호선,동작(현충원),Dongjak(Seoul National Cemetery),銅雀(顯忠院), 서울 지하철 9호선,2.7,26.6,서울특별시 동작구
432,서울 지하철 4호선,총신대입구(이수),Chongsin University(Isu),總神大入口(梨水), 서울 지하철 7호선 (이수역),1.8,28.4,서울특별시 동작구
433,서울 지하철 4호선,사당,Sadang,舍堂, 서울 지하철 2호선,1.1,29.5,서울특별시 동작구
434,서울 지하철 4호선,남태령,Namtaeryeong,南泰嶺,,1.6,31.1,서울특별시 서초구
435,과천선,선바위,Seonbawi,선바위,,2.0,33.1,경기도 과천시
436,과천선,경마공원,Seoul Racecourse Park,競馬公園,급행전역정차,1.0,34.1,경기도 과천시
437,과천선,대공원(서울랜드),Seoul Grand Park,大公園,급행전역정차,0.9,35.0,경기도 과천시
438,과천선,과천,Gwacheon,果川,급행전역정차,1.0,36.0,경기도 과천시
439,과천선,정부과천청사,Government Complex Gwacheon,政府果川廳舍,급행전역정차,1.0,37.0,경기도 과천시
440,과천선,인덕원,Indeogwon,仁德院,급행전역정차,3.0,40.0,경기도 안양시
441,과천선,평촌(한림성심병원),Pyeongchon,坪村,급행전역정차,1.6,41.6,경기도 안양시
442,과천선,범계,Beomgye,범계,급행전역정차,1.3,42.9,경기도 안양시
443,과천선,금정,Geumjeong,衿井,급행전역정차,2.6,45.5,경기도 군포시
444,안산선,산본,Sanbon,山本,,2.3,47.8,경기도 군포시
445,안산선,수리산,Surisan,修理山,,1.1,48.9,경기도 군포시
446,안산선,대야미,Daeyami,大夜味,,2.6,51.5,경기도 군포시
447,안산선,반월,Banwol,半月,,2.0,53.5,경기도 안산시
448,안산선,상록수(안산대학교),Sangnoksu,常綠樹,,3.7,57.2,경기도 안산시
449,안산선,한대앞,Hanyang University at Ansan,漢大앞, 수도권 전철 수인·분당선,1.5,58.7,경기도 안산시
450,안산선,중앙(서울예술대학),Jungang,中央,,1.6,60.3,경기도 안산시
451,안산선,고잔(고대안산병원),Gojan,古棧,,1.4,61.7,경기도 안산시
452,안산선,초지(신안산대학교),Choji,草芝, 수도권 전철 서해선,1.5,63.2,경기도 안산시
453,안산선,안산,Ansan,安山,,1.8,65.0,경기도 안산시
454,안산선,신길온천,Neunggil,陵道,,2.2,67.2,경기도 안산시
455,안산선,정왕(한국산업기술대),Jeongwang,正往,,2.9,70.1,경기도 시흥시
456,안산선,오이도,Oido,烏耳島, 수도권 전철 수인·분당선,1.4,71.5,경기도 시흥시
