number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
K335,경의선,문산,文山,Munsan, 수도권 전철 경의·중앙선 (임진강행)경의선,-,0.0,경기도 파주시
K334,경의선,파주(두원대학),坡州,Paju,,4.4,4.4,경기도 파주시
K333,경의선,월롱(서영대학교),月籠,Wollong,,2.2,6.6,경기도 파주시
K331,경의선,금촌,金村,Geumchon,,4.1,10.7,경기도 파주시
K330,경의선,금릉,金陵,Geumneung,,2.1,12.8,경기도 파주시
K329,경의선,운정,雲井,Unjeong,,3.1,15.9,경기도 파주시
K328,경의선,야당,野塘,Yadang,,2.1,18.0,경기도 파주시
K327,경의선,탄현,炭峴,Tanhyeon,,1.5,19.5,경기도 고양시
K326,경의선,일산,一山,Ilsan,,1.7,21.2,경기도 고양시
K325,경의선,풍산,楓山,Pungsan,,1.9,23.1,경기도 고양시
K324,경의선,백마,白馬,Baengma,,1.7,24.8,경기도 고양시
K323,경의선,곡산,谷山,Goksan,,1.6,26.4,경기도 고양시
K322,경의선,대곡,大谷,Daegok, 수도권 전철 3호선,1.7,28.1,경기도 고양시
K321,경의선,능곡,陵谷,Neunggok,,1.8,29.9,경기도 고양시
K320,경의선,행신,幸信,Haengsin,경의선,1.5,31.4,경기도 고양시
K319,경의선,강매,江梅,Gangmae,,0.9,32.3,경기도 고양시
K318,경의선,화전(한국항공대),花田,Hwajeon,,2.5,34.8,경기도 고양시
K317,경의선,수색,水色,Susaek,,3.4,38.2,서울특별시 은평구
K316,경의선,디지털미디어시티,,Digital Media City," 서울 지하철 6호선, 인천국제공항철도",0.6,38.8,서울특별시 은평구
K315,경의선,가좌,加佐,Gajwa, 수도권 전철 경의·중앙선 (서울행),1.7,40.5,서울특별시 마포구
K315,용산선,가좌,加佐,Gajwa, 수도권 전철 경의·중앙선 (서울행),1.7,40.5,서울특별시 마포구
K314,용산선,홍대입구,弘大入口,Hongik Univ.," 서울 지하철 2호선, 인천국제공항철도",1.7,42.2,서울특별시 마포구
K313,용산선,서강대,西江大,Sogang Univ.,,0.9,43.1,서울특별시 마포구
K312,용산선,공덕,孔德,Gongdeok," 수도권 전철 5호선, 서울 지하철 6호선, 인천국제공항철도",1.9,45.0,서울특별시 마포구
K311,용산선,효창공원앞,孝昌公園,Hyochang Park, 서울 지하철 6호선,1.0,46.0,서울특별시 용산구
K110,용산선,용산,龍山,Yongsan, 수도권 전철 1호선경부선,1.5,47.5,서울특별시 용산구
K110,경원선,용산,龍山,Yongsan, 수도권 전철 1호선경부선,1.5,47.5,서울특별시 용산구
K111,경원선,이촌,二村,Ichon, 수도권 전철 4호선,1.9,49.4,서울특별시 용산구
K112,경원선,서빙고,西氷庫,Seobinggo,,1.7,51.1,서울특별시 용산구
K113,경원선,한남,漢南,Hannam,,1.9,53.0,서울특별시 용산구
K114,경원선,옥수,玉水,Oksu, 수도권 전철 3호선,1.6,54.6,서울특별시 성동구
K115,경원선,응봉,鷹峰,Eungbong,,1.8,56.4,서울특별시 성동구
K116,경원선,왕십리,往十里,Wangsimni," 서울 지하철 2호선, 수도권 전철 5호선, 수도권 전철 수인·분당선",1.4,57.8,서울특별시 성동구
