number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
Y110,용인_경전철,기흥(백남준아트센터)[19],Giheung(Nam June Baik Art Center),器興(白南準아트센터), 수도권 전철 수인·분당선,0.000,0.000,"경기도

용인시 기흥구"
Y111,용인_경전철,강남대,Kangnam University,江南大,,1.044,1.044,"경기도

용인시 기흥구"
Y112,용인_경전철,지석,Jiseok,支石,,1.062,2.106,"경기도

용인시 기흥구"
Y113,용인_경전철,어정,Eojeong,御井,,0.918,3.024,"경기도

용인시 기흥구"
Y114,용인_경전철,동백,Dongbaek,東栢,,1.185,4.209,"경기도

용인시 기흥구"
Y115,용인_경전철,초당,Chodang,草堂,,1.097,5.306,"경기도

용인시 기흥구"
Y116,용인_경전철,삼가,Samga,三街,,2.591,7.897,"경기도

용인시 처인구"
Y117,용인_경전철,시청·용인대[20],City Hall·Yongin University,市廳·龍仁大,,1.045,8.942,"경기도

용인시 처인구"
Y118,용인_경전철,명지대,Myeongji University,明知大,,1.034,9.976,"경기도

용인시 처인구"
Y119,용인_경전철,김량장,Gimnyangjang,金良場,,0.755,10.731,"경기도

용인시 처인구"
Y120,용인_경전철,운동장·송담대[20](중앙시장),Stadium·Songdam College,運動場·松潭大,,0.945,11.676,"경기도

용인시 처인구"
Y121,용인_경전철,고진,Gojin,古陳,,0.935,12.611,"경기도

용인시 처인구"
Y122,용인_경전철,보평,Bopyeong,洑坪,,1.750,14.361,"경기도

용인시 처인구"
Y123,용인_경전철,둔전,Dunjeon,屯田,,1.027,15.388,"경기도

용인시 처인구"
Y124,용인_경전철,전대·에버랜드[20],Jeondae·Everland,前垈·에버랜드,,2.626,18.014,"경기도

용인시 처인구"
