number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
U110,의정부_경전철,발곡,鉢谷,Balgok,,0.000 km,0.000 km,경기도 의정부시
U111,의정부_경전철,회룡,回龍,Hoeryong, 수도권 전철 1호선,0.833 km,0.833 km,경기도 의정부시
U112,의정부_경전철,범골,범골,Beomgol,,0.615 km,1.448 km,경기도 의정부시
U113,의정부_경전철,경전철의정부,輕電鐵議政府,LRT Uijeongbu,,0.949 km,2.397 km,경기도 의정부시
U114,의정부_경전철,의정부시청,議政府市廳,Uijeongbu City Hall,,0.920 km,3.317 km,경기도 의정부시
U115,의정부_경전철,흥선,興宣,Heungseon,,0.627 km,3.944 km,경기도 의정부시
U117,의정부_경전철,의정부중앙,議政府中央,Uijeongbu Jungang[10],,1.1075 km,5.0515 km,경기도 의정부시
U118,의정부_경전철,동오,東梧,Dong-o[11],,0.703 km,5.7545 km,경기도 의정부시
U119,의정부_경전철,새말,새말,Sae-mal[12],,0.739 km,6.4935 km,경기도 의정부시
U120,의정부_경전철,경기도청북부청사,京畿道廳北部廳舍,Gyeonggi Provincial Government Northern Office[13],,0.7155 km,7.209 km,경기도 의정부시
U121,의정부_경전철,효자,孝子,Hyoja,,0.630 km,7.839 km,경기도 의정부시
U122,의정부_경전철,곤제,昆弟,Gonjae[14],,0.772 km,8.611 km,경기도 의정부시
U123,의정부_경전철,어룡(용현산업단지),魚龍,Eoryong,,0.904 km,9.515 km,경기도 의정부시
U124,의정부_경전철,송산,松山,Songsan,,0.630 km,10.145 km,경기도 의정부시
U125,의정부_경전철,탑석,塔石,Tapseok,,0.455 km,10.600 km,경기도 의정부시
