number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
I201,인천_도시철도_2호선,검단오류(검단산업단지),黔丹梧柳(黔丹産業團地),Geomdan Oryu (Geomdan Industrial Complex),,-,0.0,인천광역시 서구
I202,인천_도시철도_2호선,왕길,旺吉,Wanggil,,1.3,1.3,인천광역시 서구
I203,인천_도시철도_2호선,검단사거리,黔丹四거리,Geomdan Sageori,,1.4,2.7,인천광역시 서구
I204,인천_도시철도_2호선,마전,麻田,Majeon,,1.1,3.8,인천광역시 서구
I205,인천_도시철도_2호선,완정,完井,Wanjeong,,0.8,4.6,인천광역시 서구
I206,인천_도시철도_2호선,독정,篤亭,Dokjeong,,0.9,5.5,인천광역시 서구
I207,인천_도시철도_2호선,검암,黔岩,Geomam, 인천국제공항철도,1.8,7.3,인천광역시 서구
I208,인천_도시철도_2호선,검바위,黔바위,Geombawi,,0.9,8.2,인천광역시 서구
I209,인천_도시철도_2호선,아시아드경기장(공촌사거리),아시아드競技場(公村四거리),Asiad Stadium (Gongchon Sageori),,1.1,9.3,인천광역시 서구
I210,인천_도시철도_2호선,서구청,西區廳,Seo-gu Office,,0.8,10.1,인천광역시 서구
I211,인천_도시철도_2호선,가정(루원시티),佳亭,Gajeong (Lu 1 City),,2.2,12.3,인천광역시 서구
I212,인천_도시철도_2호선,가정중앙시장,佳亭中央市場,Gajeong Jungang Market,,0.8,13.1,인천광역시 서구
I213,인천_도시철도_2호선,석남(거북시장),石南(거북市場),Seongnam (Geobuk Market), 서울 지하철 7호선,1.2,14.3,인천광역시 서구
I214,인천_도시철도_2호선,서부여성회관,西部女性會館,West Woman's Community Center,,0.8,15.1,인천광역시 서구
I215,인천_도시철도_2호선,인천가좌,仁川佳佐,Incheon Gajwa,,1.1,16.2,인천광역시 서구
I216,인천_도시철도_2호선,가재울,,Gajaeul,,1.1,17.3,인천광역시 서구
I217,인천_도시철도_2호선,주안국가산단(인천J밸리),朱安國家産團(仁川J밸리),Juan Nat'l Industrial Complex (Incheon J Valley),,1.4,18.7,인천광역시 서구미추홀구
I218,인천_도시철도_2호선,주안,朱安,Juan, 수도권 전철 1호선,1.0,19.7,인천광역시 미추홀구
I219,인천_도시철도_2호선,시민공원(문화창작지대),市民公園(文化創作地帶),Citizens Park (Culture Creation Zone),,1.0,20.7,인천광역시 미추홀구
I220,인천_도시철도_2호선,석바위시장,石바위市場,Seokbawi Market,,1.0,21.7,인천광역시 미추홀구
I221,인천_도시철도_2호선,인천시청,仁川市廳,Incheon City Hall, 인천 도시철도 1호선,0.7,22.4,인천광역시 남동구
I222,인천_도시철도_2호선,석천사거리,石泉四거리,Seokcheon Sageori,,0.8,23.2,인천광역시 남동구
I223,인천_도시철도_2호선,모래내시장,모래내市場,Moraenae Market,,0.8,24.0,인천광역시 남동구
I224,인천_도시철도_2호선,만수,萬壽,Mansu,,1.1,25.1,인천광역시 남동구
I225,인천_도시철도_2호선,남동구청,南洞區廳,Namdong-gu office,,1.2,26.3,인천광역시 남동구
I226,인천_도시철도_2호선,인천대공원,仁川大公園,Incheon Grand Park,,1.5,27.8,인천광역시 남동구
I227,인천_도시철도_2호선,운연(서창),雲宴(西昌),Unyeon (Seochang),,1.3,29.1,인천광역시 남동구
