number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
A01,인천국제공항철도,서울,서울,Seoul," 수도권 전철 1호선, 수도권 전철 4호선, 수도권 전철 경의·중앙선경부선경의선",-,0.0,서울특별시 용산구
A02,인천국제공항철도,공덕,孔德,Gongdeok," 수도권 전철 경의·중앙선, 수도권 전철 5호선, 서울 지하철 6호선",3.3,3.3,서울특별시 마포구
A03,인천국제공항철도,홍대입구,弘大入口,Hongik Univ.," 수도권 전철 경의·중앙선, 서울 지하철 2호선",2.8,6.1,서울특별시 마포구
A04,인천국제공항철도,디지털미디어시티,디지털미디어시티,Digital Media City," 수도권 전철 경의·중앙선, 서울 지하철 6호선",3.4,9.5,서울특별시 은평구
A042,인천국제공항철도,마곡나루,麻谷나루,Magongnaru, 서울 지하철 9호선,8.6,18.1,서울특별시 강서구
A05,인천국제공항철도,김포공항,金浦空港,Gimpo Int'l Airport," 수도권 전철 5호선, 서울 지하철 9호선, 김포 도시철도, 수도권 전철 서해선(예정)",2.3,20.4,서울특별시 강서구
A06,인천국제공항철도,계양,桂陽,Gyeyang, 인천 도시철도 1호선,6.6,27.0,인천광역시 계양구
A07,인천국제공항철도,검암,黔岩,Geomam, 인천 도시철도 2호선,5.5,32.5,인천광역시 서구
A071,인천국제공항철도,청라국제도시,靑羅國際都市,Cheongna Int'l City,,4.8,37.3,인천광역시 서구
A072,인천국제공항철도,영종,永宗,Yeongjong,,10.3,47.6,인천광역시 중구
A08,인천국제공항철도,운서,雲西,Unseo,,3.5,51.1,인천광역시 중구
A09,인천국제공항철도,공항화물청사,空港貨物廳舍,Incheon Int'l Airport Cargo Terminal,,4.3,55.4,인천광역시 중구
A10,인천국제공항철도,인천공항1터미널,仁川空港1터미널,Incheon Int'l Airport Terminal 1, 인천공항 자기부상철도,2.6,58.0,인천광역시 중구
용유차량기지선,인천국제공항철도,용유차량기지선,용유차량기지선,용유차량기지선,용유차량기지선,,(59.932),인천광역시 중구
용유차량삼각선,인천국제공항철도,용유차량삼각선,용유차량삼각선,용유차량삼각선,용유차량삼각선,,(62.253),인천광역시 중구
A11,인천국제공항철도,인천공항2터미널,仁川空港2터미널,Incheon Int'l Airport Terminal 2,,5.8,63.8,인천광역시 중구
,인천국제공항철도,(종점),,,,0.5,64.3,인천광역시 중구
